id,time_observed_at,latitude,longitude,scientific_name,common_name,taxon_id
203406898,2024-03-21 22:42:02 UTC,44.98119678,-124.00413907,Pandion haliaetus carolinensis,American Osprey,126619
203414735,2024-03-21 20:30:18 UTC,35.2464026478,-101.836350484,Pandion haliaetus carolinensis,American Osprey,126619
203488919,2024-03-22 14:29:04 UTC,35.2466068788,-101.8363131306,Pandion haliaetus carolinensis,American Osprey,126619
203607450,2024-03-20 15:26:00 UTC,26.96943,-80.0800983056,Pandion haliaetus carolinensis,American Osprey,126619
203704539,2024-03-24 01:25:00 UTC,39.0513193402,-122.91359558,Pandion haliaetus carolinensis,American Osprey,126619
203760715,,31.44911,-94.680846,Pandion haliaetus carolinensis,American Osprey,126619
203989085,2024-03-25 19:06:00 UTC,29.3139177783,-94.8206541667,Pandion haliaetus carolinensis,American Osprey,126619
204006446,2024-03-16 05:24:00 UTC,34.794072,-87.6264545,Pandion haliaetus carolinensis,American Osprey,126619
204104546,2024-03-24 18:55:09 UTC,9.6551464948,-85.0782956555,Pandion haliaetus carolinensis,American Osprey,126619
204352918,2024-03-16 16:47:09 UTC,43.4064992242,-124.224280268,Pandion haliaetus carolinensis,American Osprey,126619
204400341,2024-03-28 20:07:51 UTC,35.2469370309,-101.8362705934,Pandion haliaetus carolinensis,American Osprey,126619
204418912,2024-03-27 22:21:15 UTC,38.6779299,-77.1704109,Pandion haliaetus carolinensis,American Osprey,126619
204419075,2024-03-27 22:32:22 UTC,38.677787778,-77.1683568624,Pandion haliaetus carolinensis,American Osprey,126619
204419175,2024-03-27 22:44:07 UTC,38.6755517337,-77.1656661276,Pandion haliaetus carolinensis,American Osprey,126619
204442777,2024-03-24 15:39:37 UTC,28.656277342,-81.5649643469,Pandion haliaetus carolinensis,American Osprey,126619
204453106,2024-03-29 16:29:00 UTC,32.0090592556,-80.843321979,Pandion haliaetus carolinensis,American Osprey,126619
204580492,2024-02-23 14:26:00 UTC,15.6595895191,-88.2747077239,Pandion haliaetus carolinensis,American Osprey,126619
204641885,2024-03-30 22:26:25 UTC,28.3699685399,-80.6063891854,Pandion haliaetus carolinensis,American Osprey,126619
204652528,2024-03-30 20:12:00 UTC,28.5017498866,-81.339191299,Pandion haliaetus carolinensis,American Osprey,126619
204824831,2024-03-31 22:20:52 UTC,38.0850711,-78.4445874997,Pandion haliaetus carolinensis,American Osprey,126619
204828888,2024-03-30 23:05:40 UTC,41.2247825601,-73.1151894099,Pandion haliaetus carolinensis,American Osprey,126619
204863630,2024-03-31 16:22:25 UTC,17.1278669222,-96.7342453077,Pandion haliaetus carolinensis,American Osprey,126619
205022073,2024-03-30 18:00:00 UTC,36.6703840982,-75.9137967978,Pandion haliaetus carolinensis,American Osprey,126619
205022390,2024-03-30 17:41:00 UTC,36.6852899455,-75.9210490953,Pandion haliaetus carolinensis,American Osprey,126619
205108302,2024-01-20 20:38:00 UTC,30.6719828418,-97.7350187137,Pandion haliaetus carolinensis,American Osprey,126619
205147002,2024-04-02 17:10:00 UTC,38.6143303302,-121.3038575512,Pandion haliaetus carolinensis,American Osprey,126619
205171301,2024-04-03 00:41:30 UTC,41.5050076977,-109.4455141745,Pandion haliaetus carolinensis,American Osprey,126619
205191555,2024-04-02 15:56:27 UTC,39.5397800602,-79.2968417493,Pandion haliaetus carolinensis,American Osprey,126619
205191928,2024-04-02 19:41:05 UTC,39.5728570987,-79.2596271394,Pandion haliaetus carolinensis,American Osprey,126619
205287656,2024-04-03 14:07:24 UTC,25.8683328663,-100.1594211906,Pandion haliaetus carolinensis,American Osprey,126619
205305318,2024-03-30 13:02:00 UTC,36.5922938376,-76.4876250584,Pandion haliaetus carolinensis,American Osprey,126619
205342076,2024-04-03 19:57:00 UTC,29.3167875,-94.7629163883,Pandion haliaetus carolinensis,American Osprey,126619
205454092,2024-04-04 18:56:49 UTC,36.5242751077,-82.1067949757,Pandion haliaetus carolinensis,American Osprey,126619
205457421,2024-04-04 22:14:00 UTC,38.7922084053,-75.0936426936,Pandion haliaetus carolinensis,American Osprey,126619
205461698,2024-02-15 20:36:11 UTC,29.862875,-97.9288783333,Pandion haliaetus carolinensis,American Osprey,126619
205464650,2024-04-04 17:07:28 UTC,45.166174294,-113.8864554049,Pandion haliaetus carolinensis,American Osprey,126619
205608102,2024-04-04 21:31:00 UTC,12.0934833119,-85.9873093155,Pandion haliaetus carolinensis,American Osprey,126619
205704408,,45.507278562,-123.0844153528,Pandion haliaetus carolinensis,American Osprey,126619
205740053,2024-03-31 02:12:09 UTC,39.2268833333,-123.7648916667,Pandion haliaetus carolinensis,American Osprey,126619
205761648,2024-04-06 22:11:39 UTC,33.6909666667,-93.9636383333,Pandion haliaetus carolinensis,American Osprey,126619
205761709,2024-04-06 22:49:00 UTC,46.9551239121,-120.5319783674,Pandion haliaetus carolinensis,American Osprey,126619
205762139,2024-04-03 14:44:00 UTC,21.2660806277,-97.4544243926,Pandion haliaetus carolinensis,American Osprey,126619
205777675,2024-04-06 16:44:17 UTC,38.0255527083,-122.0971297041,Pandion haliaetus carolinensis,American Osprey,126619
205807207,2024-04-06 22:33:00 UTC,36.2982296459,-85.9070226984,Pandion haliaetus carolinensis,American Osprey,126619
205927644,2024-04-07 17:04:27 UTC,44.0625433854,-123.1279865989,Pandion haliaetus carolinensis,American Osprey,126619
205929916,2024-03-24 14:52:35 UTC,28.5755765856,-80.9971509104,Pandion haliaetus carolinensis,American Osprey,126619
206007998,2024-04-07 22:36:00 UTC,33.5660846137,-101.8022102662,Pandion haliaetus carolinensis,American Osprey,126619
206009147,2024-04-07 23:31:09 UTC,40.5918077208,-122.3774254695,Pandion haliaetus carolinensis,American Osprey,126619
206012614,2024-04-03 23:18:09 UTC,11.9195564166,-85.9167686105,Pandion haliaetus carolinensis,American Osprey,126619
206015334,2024-04-07 22:27:53 UTC,37.9245627577,-122.4110714346,Pandion haliaetus carolinensis,American Osprey,126619
206092446,2024-04-08 15:11:00 UTC,39.2669501614,-85.3684617982,Pandion haliaetus carolinensis,American Osprey,126619
206182062,2024-04-06 18:46:28 UTC,41.993218869,-70.6987161586,Pandion haliaetus carolinensis,American Osprey,126619
206196721,2024-04-09 01:57:07 UTC,40.8780366667,-123.6161633333,Pandion haliaetus carolinensis,American Osprey,126619
206205573,2024-04-06 00:47:53 UTC,25.1166252026,-80.9580352864,Pandion haliaetus carolinensis,American Osprey,126619
206319212,2024-04-09 19:15:26 UTC,45.6113363597,-122.6922326535,Pandion haliaetus carolinensis,American Osprey,126619
206356312,2024-04-08 00:24:52 UTC,37.5148883333,-120.45285,Pandion haliaetus carolinensis,American Osprey,126619
206358487,2024-03-19 15:44:00 UTC,37.9524416535,-76.9157526863,Pandion haliaetus carolinensis,American Osprey,126619
206410222,2024-04-08 12:38:00 UTC,37.3938323917,-78.159611672,Pandion haliaetus carolinensis,American Osprey,126619
206541222,2024-04-10 19:20:00 UTC,29.3171788883,-94.7626638883,Pandion haliaetus carolinensis,American Osprey,126619
206609926,2024-04-11 12:07:00 UTC,40.780299,-96.632414,Pandion haliaetus carolinensis,American Osprey,126619
206797453,2024-04-12 13:23:00 UTC,47.6577890882,-122.1175299791,Pandion haliaetus carolinensis,American Osprey,126619
206859374,2024-04-12 13:44:00 UTC,27.5111388889,-82.6703638889,Pandion haliaetus carolinensis,American Osprey,126619
206996103,2024-04-06 00:46:41 UTC,46.4089802,-117.0380884,Pandion haliaetus carolinensis,American Osprey,126619
207041724,2024-04-12 17:15:00 UTC,36.6189757592,-121.9016555253,Pandion haliaetus carolinensis,American Osprey,126619
207066250,2024-04-13 16:08:00 UTC,28.5835224913,-80.9881511299,Pandion haliaetus carolinensis,American Osprey,126619
207084897,2024-04-13 14:40:00 UTC,40.3416212,-80.1095315,Pandion haliaetus carolinensis,American Osprey,126619
207097870,2024-04-13 01:06:53 UTC,48.278428397,-114.2719550847,Pandion haliaetus carolinensis,American Osprey,126619
207107364,,45.5361516703,-123.1099787934,Pandion haliaetus carolinensis,American Osprey,126619
207169474,2024-03-11 15:51:22 UTC,30.8095965304,-92.2692323653,Pandion haliaetus carolinensis,American Osprey,126619
207287713,2024-04-14 14:11:43 UTC,38.9367313809,-77.5853322359,Pandion haliaetus carolinensis,American Osprey,126619
207330754,2024-04-14 13:28:34 UTC,42.3506633333,-88.96098,Pandion haliaetus carolinensis,American Osprey,126619
207633988,,47.9974315896,-122.4395028502,Pandion haliaetus carolinensis,American Osprey,126619
207706269,2024-04-15 18:11:25 UTC,49.8382871804,-119.4734803686,Pandion haliaetus carolinensis,American Osprey,126619
207718354,2024-04-11 21:04:00 UTC,44.4706213755,-114.2005191353,Pandion haliaetus carolinensis,American Osprey,126619
207718375,2024-04-12 13:18:00 UTC,44.1436380969,-115.3046787652,Pandion haliaetus carolinensis,American Osprey,126619
207802985,2024-04-17 16:51:04 UTC,40.603505,-73.9285883333,Pandion haliaetus carolinensis,American Osprey,126619
207821064,2024-04-17 15:56:20 UTC,28.8033310014,-81.8777464992,Pandion haliaetus carolinensis,American Osprey,126619
207855901,2024-04-12 22:30:01 UTC,40.9084549722,-73.24299,Pandion haliaetus carolinensis,American Osprey,126619
207874834,2024-04-16 02:19:00 UTC,50.0253083333,-119.4949533333,Pandion haliaetus carolinensis,American Osprey,126619
207989874,2024-04-18 18:34:29 UTC,28.8031812892,-81.8775063503,Pandion haliaetus carolinensis,American Osprey,126619
208037279,2024-04-13 01:00:52 UTC,45.6166833333,-122.7176916667,Pandion haliaetus carolinensis,American Osprey,126619
208086131,2024-04-19 13:03:54 UTC,28.0223416667,-82.606505,Pandion haliaetus carolinensis,American Osprey,126619
208108452,2024-04-19 15:51:41 UTC,28.0222129697,-82.6048572602,Pandion haliaetus carolinensis,American Osprey,126619
208128896,2024-04-17 12:02:00 UTC,27.6024863807,-82.7137195218,Pandion haliaetus carolinensis,American Osprey,126619
208182960,2024-04-08 00:13:00 UTC,45.4080458072,-117.8439350503,Pandion haliaetus carolinensis,American Osprey,126619
208182961,2024-04-08 00:14:00 UTC,45.5385561766,-117.9031719517,Pandion haliaetus carolinensis,American Osprey,126619
208376802,2024-04-20 14:02:00 UTC,28.8529066667,-81.3573916389,Pandion haliaetus carolinensis,American Osprey,126619
208400645,2024-04-16 22:38:58 UTC,39.6233339931,-79.0416042503,Pandion haliaetus carolinensis,American Osprey,126619
208416833,2024-04-20 16:34:00 UTC,49.1264993657,-122.2229569691,Pandion haliaetus carolinensis,American Osprey,126619
208497495,2024-04-21 15:14:06 UTC,42.4307096487,-71.1480553821,Pandion haliaetus carolinensis,American Osprey,126619
208519194,2024-04-21 16:59:28 UTC,51.071310547,-114.1717029228,Pandion haliaetus carolinensis,American Osprey,126619
208527976,2024-04-14 20:01:00 UTC,9.8561076101,-83.6548391877,Pandion haliaetus carolinensis,American Osprey,126619
208625322,2024-03-22 01:15:00 UTC,29.5628983558,-94.3922741711,Pandion haliaetus carolinensis,American Osprey,126619
208642836,2024-04-21 22:14:00 UTC,31.5964277887,-97.2708396508,Pandion haliaetus carolinensis,American Osprey,126619
208809209,2024-04-22 21:31:07 UTC,29.5741502568,-82.3347992544,Pandion haliaetus carolinensis,American Osprey,126619
208847702,2024-04-06 22:19:00 UTC,34.454525,-96.636009,Pandion haliaetus carolinensis,American Osprey,126619
208929617,2024-04-23 17:46:41 UTC,28.7071682931,-81.2735328631,Pandion haliaetus carolinensis,American Osprey,126619
209032118,2024-02-13 20:08:00 UTC,16.1789524738,-88.9621477203,Pandion haliaetus carolinensis,American Osprey,126619
209187135,2024-04-24 21:55:00 UTC,40.8510196117,-96.8777078162,Pandion haliaetus carolinensis,American Osprey,126619
209281083,2024-04-15 21:23:00 UTC,44.6338124744,-117.9554248598,Pandion haliaetus carolinensis,American Osprey,126619
209329346,2024-04-15 21:17:00 UTC,44.7949956106,-117.8085353221,Pandion haliaetus carolinensis,American Osprey,126619
209329364,2024-04-15 21:23:00 UTC,44.7097800978,-117.9495548612,Pandion haliaetus carolinensis,American Osprey,126619
