id,observed_on,time_observed_at,latitude,longitude,scientific_name,common_name
199343698,2/12/2024,2024-02-12 16:17:43 UTC,25.51875333,-80.35688833,Pandion haliaetus carolinensis,American Osprey
199382110,2/13/2024,2024-02-13 20:07:22 UTC,31.86394444,-116.6677583,Pandion haliaetus carolinensis,American Osprey
209032118,2/13/2024,2024-02-13 20:08:00 UTC,16.17895247,-88.96214772,Pandion haliaetus carolinensis,American Osprey
199408196,2/14/2024,2024-02-14 22:58:24 UTC,8.466388333,-83.59021667,Pandion haliaetus carolinensis,American Osprey
199408181,2/15/2024,2024-02-15 23:02:56 UTC,29.318695,-94.82134167,Pandion haliaetus carolinensis,American Osprey
205461698,2/15/2024,2024-02-15 20:36:11 UTC,29.862875,-97.92887833,Pandion haliaetus carolinensis,American Osprey
201189561,2/16/2024,2024-02-16 20:28:50 UTC,20.547705,-87.1564945,Pandion haliaetus carolinensis,American Osprey
203178117,2/16/2024,2024-02-16 22:01:00 UTC,36.61898987,-121.9016956,Pandion haliaetus carolinensis,American Osprey
199694156,2/18/2024,2024-02-18 16:48:01 UTC,19.10013883,-104.3467117,Pandion haliaetus carolinensis,American Osprey
199769643,2/18/2024,2024-02-18 23:12:34 UTC,36.61671333,-121.8999467,Pandion haliaetus carolinensis,American Osprey
246673478,2/18/2024,2024-02-18 22:54:00 UTC,9.852527778,-85.39661111,Pandion haliaetus carolinensis,American Osprey
199831634,2/19/2024,2024-02-19 15:44:37 UTC,26.20127843,-81.07815374,Pandion haliaetus carolinensis,American Osprey
199834032,2/19/2024,2024-02-19 20:19:15 UTC,27.71773333,-82.689505,Pandion haliaetus carolinensis,American Osprey
199834147,2/19/2024,2024-02-19 20:21:25 UTC,27.71804667,-82.69029167,Pandion haliaetus carolinensis,American Osprey
199876487,2/19/2024,2024-02-19 20:52:00 UTC,29.31557278,-94.76080861,Pandion haliaetus carolinensis,American Osprey
199879662,2/19/2024,2024-02-19 20:56:00 UTC,29.32244556,-94.75959472,Pandion haliaetus carolinensis,American Osprey
199879842,2/19/2024,2024-02-19 23:04:00 UTC,31.54159366,-97.21741882,Pandion haliaetus carolinensis,American Osprey
199879843,2/19/2024,2024-02-19 23:49:00 UTC,31.59149844,-97.21121214,Pandion haliaetus carolinensis,American Osprey
200030787,2/21/2024,2024-02-21 15:15:00 UTC,27.84434967,-82.77677275,Pandion haliaetus carolinensis,American Osprey
233576461,2/21/2024,2024-02-21 17:48:06 UTC,31.67161429,-85.11003123,Pandion haliaetus carolinensis,American Osprey
200119069,2/22/2024,2024-02-22 18:52:16 UTC,19.10284717,-104.39627,Pandion haliaetus carolinensis,American Osprey
200145193,2/22/2024,2024-02-22 18:36:00 UTC,19.10289316,-104.3966103,Pandion haliaetus carolinensis,American Osprey
200158523,2/22/2024,2024-02-22 20:51:00 UTC,29.33136611,-94.78165445,Pandion haliaetus carolinensis,American Osprey
200256402,2/22/2024,2024-02-22 20:17:00 UTC,29.32885083,-94.76924111,Pandion haliaetus carolinensis,American Osprey
200256788,2/22/2024,2024-02-22 20:46:00 UTC,29.322995,-94.798805,Pandion haliaetus carolinensis,American Osprey
204580492,2/23/2024,2024-02-23 14:26:00 UTC,15.65958952,-88.27470772,Pandion haliaetus carolinensis,American Osprey
200407446,2/25/2024,2024-02-25 15:33:38 UTC,32.25886963,-86.35128513,Pandion haliaetus carolinensis,American Osprey
200579466,2/26/2024,2024-02-26 15:15:10 UTC,25.9205488,-81.72753773,Pandion haliaetus carolinensis,American Osprey
200673632,2/26/2024,2024-02-26 20:19:35 UTC,4.401108333,-75.13237333,Pandion haliaetus carolinensis,American Osprey
200674982,2/26/2024,2024-02-26 14:11:33 UTC,4.40476,-75.14166583,Pandion haliaetus carolinensis,American Osprey
200977992,2/27/2024,2024-02-27 20:26:37 UTC,25.51956333,-80.34590333,Pandion haliaetus carolinensis,American Osprey
200888115,2/29/2024,2024-02-29 19:20:00 UTC,29.31579972,-94.76184333,Pandion haliaetus carolinensis,American Osprey
201686538,2/29/2024,2024-02-29 16:07:00 UTC,-2.637770002,-80.26433941,Pandion haliaetus carolinensis,American Osprey
255835438,2/29/2024,2024-03-01 04:42:00 UTC,25.61660908,-99.30225602,Pandion haliaetus carolinensis,American Osprey
203149786,3/2/2024,2024-03-02 22:49:34 UTC,27.664043,-97.326261,Pandion haliaetus carolinensis,American Osprey
201450667,3/4/2024,2024-03-04 20:00:00 UTC,29.31470556,-94.82054445,Pandion haliaetus carolinensis,American Osprey
201476724,3/6/2024,2024-03-06 14:41:21 UTC,30.39474072,-88.8087599,Pandion haliaetus carolinensis,American Osprey
201553724,3/6/2024,2024-03-06 22:27:00 UTC,31.5525597,-97.2248378,Pandion haliaetus carolinensis,American Osprey
201623989,3/6/2024,2024-03-06 20:20:21 UTC,29.61,-82.3199999,Pandion haliaetus carolinensis,American Osprey
201631263,3/7/2024,2024-03-07 18:38:00 UTC,29.66511055,-82.20263895,Pandion haliaetus carolinensis,American Osprey
201631268,3/7/2024,2024-03-07 18:44:00 UTC,29.66831748,-82.20495637,Pandion haliaetus carolinensis,American Osprey
202851663,3/7/2024,2024-03-07 22:07:00 UTC,27.90200748,-81.58011337,Pandion haliaetus carolinensis,American Osprey
201812535,3/8/2024,2024-03-08 20:12:00 UTC,30.23394419,-84.29089106,Pandion haliaetus carolinensis,American Osprey
201812581,3/8/2024,2024-03-08 20:33:00 UTC,30.23403793,-84.29079547,Pandion haliaetus carolinensis,American Osprey
201855247,3/9/2024,2024-03-10 00:17:27 UTC,36.61756663,-121.9007558,Pandion haliaetus carolinensis,American Osprey
201977426,3/9/2024,2024-03-09 20:27:00 UTC,21.60985833,-88.110305,Pandion haliaetus carolinensis,American Osprey
202060541,3/9/2024,2024-03-09 17:52:13 UTC,28.2328127,-114.0006688,Pandion haliaetus carolinensis,American Osprey
202083394,3/10/2024,2024-03-10 19:09:00 UTC,34.0770345,-117.8104144,Pandion haliaetus carolinensis,American Osprey
202366248,3/10/2024,2024-03-10 16:34:12 UTC,34.17680259,-118.4727919,Pandion haliaetus carolinensis,American Osprey
202084440,3/11/2024,2024-03-11 19:27:09 UTC,27.5244223,-82.7313312,Pandion haliaetus carolinensis,American Osprey
202149747,3/11/2024,2024-03-11 16:28:14 UTC,25.1427586,-80.922491,Pandion haliaetus carolinensis,American Osprey
202324845,3/11/2024,2024-03-11 16:14:00 UTC,29.61693598,-82.32233338,Pandion haliaetus carolinensis,American Osprey
207169474,3/11/2024,2024-03-11 15:51:22 UTC,30.80959653,-92.26923237,Pandion haliaetus carolinensis,American Osprey
